calls_ivr_id,gen_billing_account_id
1670717168.305764,581209482
1670717537.2669489,634880484
1670722858.333643,586404609
1670736705.305784,634856579
1670740257.333704,581839475
1670740345.3337049,631983226
1670742107.3057971,581228249
1670742154.2956791,631983226
1670742187.3337171,639260307
1670743760.295686,638675982
1670743842.3058071,580635566
1670743845.295687,585197067
1670744270.3337319,637737016
1670745164.333739,637346927
1670745301.3337431,633668238
1670745325.2956929,633857434
1670745781.2670331,639583812
1670746143.3058219,581663929
1670746237.3058231,631058638
1670746342.333751,584008110
1670746399.3337519,585197067
1670746667.2956989,581560651
1670747308.2957051,635298419
1670747667.26706,631119524
1670747901.2957151,581357203
1670747921.2670629,636256495
1670748135.305851,633816659
1670748240.29572,633217459
1670748593.3058591,584963456
1670748691.305861,637737016
1670748743.3337929,581953414
1670748840.295728,637443191
1670748895.267081,583822610
1670748956.2957289,637443191
1670748964.3337989,638667260
1670748992.29573,640277792
1670749067.333801,633330250
1670749089.3338029,639755403
1670749122.267086,585268145
1670749128.2957361,635911311
1670749171.2670879,639201626
1670749334.333812,583822610
1670749359.333813,636024627
1670749439.29574,640159695
1670749607.3338211,582178751
1670749626.333822,633450027
1670749733.3338251,631242640
1670749772.333827,637748923
1670749920.295747,637659820
1670750092.295748,587233962
1670750179.295752,635298419
1670750179.3338361,587233962
1670750196.295754,588871808
1670750310.3338389,640346987
1670750404.3058929,634129853
1670750428.2671039,634974844
1670750450.333842,631709834
1670750476.295759,585197067
1670750682.333847,633487036
1670750712.2957649,639364019
1670750769.2957671,639301593
1670751069.2671151,638469006
1670751075.3059061,640247489
1670751105.3338561,588396473
1670751310.3338611,639558808
1670751342.3059111,580536929
1670751421.333863,580626431
1670751551.267127,634359278
1670751671.2957821,636445446
1670751675.33387,591733779
1670751919.267134,587935971
1670751977.2671361,640270169
1670752054.2671371,636168302
1670752072.3338821,631050721
1670752202.3338871,586135669
1670752579.3339,640125738
1670752655.267153,591398437
1670752708.267154,633083360
1670752778.333909,639301593
1670752807.33391,639301593
1670752824.3339109,591425401
1670752839.295805,635418245
1670752859.3339119,639464728
1670752864.3339131,639821000
1670752978.3339159,637737016
1670753123.33392,634186847
1670753124.2671649,639047031
1670753150.305938,636968843
1670753202.2671671,632704289
1670753204.305939,634186847
1670753456.2958119,630574406
1670753551.3339291,634186847
1670753705.2958231,591236156
1670753866.2671809,633203648
1670753967.33394,585693773
1670754005.3339419,636820709
1670754284.295836,639754766
1670754478.2671931,639341262
1670754505.3339641,639464728
1670754512.2958429,638854265
1670754619.2671959,585693773
1670754671.305969,630574406
1670754686.333971,585424931
1670754842.267204,639178169
1670754921.305975,585693773
1670755011.3059781,635494601
1670755187.305984,639708272
1670755426.333998,640247489
1670755453.267225,631880256
1670755523.305995,639601662
1670755593.295877,640004169
1670755620.3340051,586257861
1670755633.3059969,636045480
1670755660.2958779,635418245
1670755668.334008,636575037
1670755694.306,584213511
1670755718.295881,636575037
1670755762.334012,636575037
1670755867.306004,640247489
1670755873.306005,638872969
1670755907.2958879,639380070
1670755910.306006,639138850
1670755947.3060091,639720053
1670755965.2958889,583393125
1670756019.3340249,585832191
1670756030.3340261,636045480
1670756098.3340271,638307775
1670756198.267241,631888516
1670756237.267242,640144337
1670756281.2672429,581294595
1670756305.3340371,639720053
1670756462.267246,636977047
1670756490.267247,640020402
1670756509.3340449,639587165
1670756535.26725,586606328
1670756568.334048,637003479
1670756582.33405,586257861
1670756596.2672551,580465893
1670756768.3340571,634721031
1670756793.3060341,636732292
1670756814.334058,585980948
1670756892.2672629,636732292
1670756892.3060369,637429856
1670756947.295912,584896928
1670757019.267271,640004169
1670757049.30604,638872969
1670757107.306041,580503714
1670757136.295918,584851995
1670757211.3340721,639463244
1670757287.334075,588185038
1670757290.3340759,588281946
1670757306.267282,639357670
1670757308.2959249,633330250
1670757335.3340781,580356504
1670757659.2959349,637792862
1670757719.3340919,639380070
1670757779.3340931,634016957
1670758009.2959421,634374419
1670758015.306067,630546007
1670758072.3060679,634095938
1670758088.295948,634095938
1670758393.3060851,638901389
1670758422.2959659,631983226
1670758491.3060889,583822610
1670758656.2673249,634358641
1670758772.295979,639587165
1670758845.2673349,586257861
1670758858.3061061,638103340
1670758878.3341291,637859278
1670759060.2959909,637872627
1670759122.3341379,632925244
1670759123.3061111,638163743
1670759131.2673471,631983226
1670759172.3061121,634095938
1670759183.334141,636732292
1670759267.334146,637859278
1670759315.3341489,639754766
1670759346.334151,582843177
1670759535.306119,585775834
1670759582.3061211,586485473
1670759640.306124,636552042
1670759713.334167,632683849
1670759714.3061261,634186847
1670759717.334168,639649535
1670759751.3341689,586293379
1670759985.267369,637859278
1670760102.3061371,634186847
1670760121.306138,638170729
1670760167.296016,632220505
1670760295.2960241,639595957
1670760453.29603,586529069
1670760498.33419,633373272
1670760571.2673869,639595957
1670760585.2960379,640275440
1670760694.334197,586485473
1670760877.296047,632125109
1670760889.2960479,639340919
1670760967.29605,632447641
1670760991.3342071,637734545
1670761154.2674129,583396534
1670761195.29606,636552042
1670761239.334218,587607496
1670761346.2960689,639491181
1670761424.296072,587607496
1670761469.2960739,582447180
1670761519.334229,591416280
1670761618.267431,633330250
1670761689.29608,633325000
1670761792.306185,637451451
1670761881.3061891,640118640
1670761895.2960889,639505167
1670762125.2674561,584784319
1670762298.3342559,586143530
1670762312.3061991,637948563
1670762335.3342569,583932573
1670762375.334259,639491181
1670762387.33426,588367878
1670762597.33427,585443019
1670762802.296119,581064806
1670762864.29612,640225257
1670762945.2961221,631207815
1670763027.3342831,582233148
1670763035.2674761,586275494
1670763182.33429,636161666
1670763218.334291,633913973
1670763389.3062229,634778032
1670763428.296134,584291071
1670763460.3062251,636687121
1670763646.2961421,637452907
1670763701.2961431,637852586
1670763738.3062329,630920164
1670764108.306246,637307545
1670764139.2675011,636279581
1670764290.306252,588367878
1670764406.2961581,639224033
1670764548.2675121,586647159
1670764576.267513,586647159
1670764658.3343351,636547429
1670764699.267519,636552042
1670764734.334337,582357671
1670764848.33434,638499435
1670765011.3343439,638487836
1670765013.267524,591334156
1670765114.2961769,584270757
1670765130.2675259,633712310
1670765135.306278,639513070
1670765139.2961781,584946425
1670765376.3062861,582994083
1670765445.296185,584191237
1670765529.3343551,640205503
1670765665.3343589,639859682
1670765742.267545,639459821
1670765747.2675459,586835893
1670765795.26755,633376044
1670765941.2961979,583276113
1670766101.296201,582994083
1670766106.2675591,632704289
1670766107.3343711,586559386
1670766112.26756,587942740
1670766148.2962041,586542187
1670766208.306314,638591541
1670766216.296205,587942740
1670766475.30632,586835893
1670766553.3063221,584946425
1670766595.33438,639904216
1670766633.3063231,635304950
1670766651.334383,636870094
1670766870.26758,637767802
1670767090.3063321,637767802
1670767215.2962229,591251346
1670767277.2962251,581365281
1670767361.267596,630423738
1670767375.33441,637505974
1670767953.267607,640363857
1670768305.2676151,636547429
1670768316.267616,640247489
1670768543.2962551,584946425
1670768558.267626,585145610
1670769208.3344481,639307487
1670769235.2962689,586306896
1670769429.3344569,585435340
1670769662.2676539,584408258
1670769759.2676611,638441580
1670769879.296283,633811297
1670770040.306406,637989968
1670770337.33448,639499028
1670770337.33448,639499266
1670770476.296293,586542187
1670770477.334486,586830111
1670770514.3064139,586542187
1670770741.3344929,638905365
1670770785.2676809,638703009
1670770845.267683,635275263
1670770944.2676859,584946425
1670771105.306432,584673096
1670771183.334507,637896994
1670771211.3345079,630111825
1670771216.2963059,588431760
1670771263.2676909,635361713
1670771380.296315,639380070
1670771488.3064389,587867077
1670771687.334523,586653739
1670771815.2677121,637452907
1670771850.3064461,630111825
1670771901.3345289,638811586
1670771926.3064489,634738657
1670772315.2677331,633459029
1670772321.2677341,640375344
1670772674.29634,638458030
1670772766.2963431,584708376
1670772794.267745,636457227
1670772886.2963469,640375344
1670773030.334558,582603217
1670773045.2677519,582903755
1670773158.3064711,637439558
1670773196.306473,638554469
1670773513.3064821,585115405
1670773713.3064849,640182221
1670773831.30649,633370206
1670774081.3345709,588341201
1670774142.306494,584125514
1670774174.2677779,634153184
1670774194.306495,588341201
1670774202.3064959,585115405
1670774419.3065009,639794610
1670774627.296375,639120776
1670774638.334584,639794610
1670774773.3345871,585220454
1670774795.3345881,637692041
1670774806.267786,585220454
1670775272.2677951,637089943
1670775486.2677989,630608545
1670775501.3345971,640026527
1670775536.30652,638675982
1670775567.334599,632284149
1670775582.3065209,635092304
1670775646.296391,636870094
1670775831.334605,630608545
1670776024.3065269,584573990
